ID: 25404, Имя: dllhost, Приоритет: 8, Время запуска: 22.12.2023 9:56:21, Текущее состояние: True, Процессор использовал 00:00:00.0937500 времени
ID: 2568, Имя: Яндекс Музыка, Приоритет: 8, Время запуска: 22.12.2023 9:56:24, Текущее состояние: True, Процессор использовал 00:00:47.1718750 времени
ID: 18332, Имя: Яндекс Музыка, Приоритет: 10, Время запуска: 22.12.2023 9:56:25, Текущее состояние: True, Процессор использовал 00:00:39.6093750 времени
ID: 9040, Имя: Яндекс Музыка, Приоритет: 8, Время запуска: 22.12.2023 9:56:25, Текущее состояние: True, Процессор использовал 00:00:24.8125000 времени
ID: 3016, Имя: Яндекс Музыка, Приоритет: 4, Время запуска: 22.12.2023 9:56:25, Текущее состояние: True, Процессор использовал 00:06:36.1093750 времени
ID: 19596, Имя: SystemSettings, Приоритет: 8, Время запуска: 22.12.2023 9:56:25, Текущее состояние: False, Процессор использовал 00:00:00.6250000 времени
ID: 19328, Имя: ApplicationFrameHost, Приоритет: 8, Время запуска: 22.12.2023 9:56:25, Текущее состояние: True, Процессор использовал 00:00:01.8750000 времени
ID: 8716, Имя: CompPkgSrv, Приоритет: 8, Время запуска: 22.12.2023 9:56:26, Текущее состояние: True, Процессор использовал 00:00:00.0625000 времени
ID: 12888, Имя: Яндекс Музыка, Приоритет: 8, Время запуска: 22.12.2023 9:56:26, Текущее состояние: True, Процессор использовал 00:00:45.8437500 времени
ID: 21920, Имя: UserOOBEBroker, Приоритет: 8, Время запуска: 22.12.2023 9:56:26, Текущее состояние: True, Процессор использовал 00:00:00.2968750 времени
ID: 22212, Имя: Яндекс Музыка, Приоритет: 4, Время запуска: 22.12.2023 9:56:26, Текущее состояние: True, Процессор использовал 00:00:02.6250000 времени
ID: 20552, Имя: chrome, Приоритет: 4, Время запуска: 22.12.2023 9:56:38, Текущее состояние: True, Процессор использовал 00:10:23.5156250 времени
ID: 9420, Имя: chrome, Приоритет: 8, Время запуска: 22.12.2023 9:56:38, Текущее состояние: True, Процессор использовал 00:00:46.5468750 времени
ID: 25100, Имя: rundll32, Приоритет: 8, Время запуска: 22.12.2023 9:56:46, Текущее состояние: True, Процессор использовал 00:00:00.2031250 времени
ID: 3772, Имя: Calculator, Приоритет: 8, Время запуска: 22.12.2023 9:57:11, Текущее состояние: False, Процессор использовал 00:00:00.6406250 времени
ID: 22700, Имя: RuntimeBroker, Приоритет: 8, Время запуска: 22.12.2023 9:57:11, Текущее состояние: True, Процессор использовал 00:00:00.0468750 времени
ID: 20452, Имя: svchost, Приоритет: 8, Время запуска: 22.12.2023 9:57:20, Текущее состояние: True, Процессор использовал 00:00:00.0781250 времени
ID: 10752, Имя: Video.UI, Приоритет: 8, Время запуска: 22.12.2023 9:57:22, Текущее состояние: False, Процессор использовал 00:00:00.8750000 времени
ID: 3872, Имя: RuntimeBroker, Приоритет: 8, Время запуска: 22.12.2023 9:57:22, Текущее состояние: True, Процессор использовал 00:00:00.1250000 времени
ID: 24544, Имя: jucheck, Приоритет: 8, Время запуска: 22.12.2023 10:00:48, Текущее состояние: True, Процессор использовал 00:00:00.9218750 времени
ID: 17880, Имя: SettingSyncHost, Приоритет: 6, Время запуска: 22.12.2023 10:09:31, Текущее состояние: True, Процессор использовал 00:00:00.2187500 времени
ID: 24312, Имя: steamwebhelper, Приоритет: 8, Время запуска: 22.12.2023 10:10:39, Текущее состояние: True, Процессор использовал 00:02:35.2187500 времени
ID: 23940, Имя: steamwebhelper, Приоритет: 8, Время запуска: 22.12.2023 10:10:41, Текущее состояние: True, Процессор использовал 00:00:00.0468750 времени
